@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
8,133,62,van
11,157,74,van
10,154,67,van
11,155,72,van
6,122,64,van
7,130,69,van
9,147,70,van
11,161,76,van
7,119,61,van
5,117,69,van
8,143,71,van
7,131,65,van
49,155,135,van
9,146,64,van
10,156,74,van
8,130,63,van
10,133,67,van
7,140,77,van
5,119,86,van
11,160,77,van
6,119,67,van
8,133,78,van
7,139,85,van
3,118,88,van
6,130,65,van
11,156,76,van
7,139,81,van
7,122,64,van
11,159,74,van
9,157,67,van
8,132,69,van
8,136,64,van
11,156,73,van
4,118,78,van
9,133,69,van
6,118,65,van
8,139,62,van
9,149,64,van
55,139,99,van
6,132,86,van
10,157,73,van
6,123,76,van
10,152,72,van
8,138,71,van
9,138,69,van
9,150,65,van
8,137,65,van
11,160,70,van
5,120,82,van
9,134,71,van
7,135,78,van
9,134,69,van
7,127,66,van
9,126,72,van
48,158,97,van
10,151,65,van
10,158,68,van
8,140,62,van
9,127,71,van
7,132,84,van
8,137,63,van
7,137,72,van
10,156,78,van
8,134,80,van
11,159,71,van
9,137,67,van
5,114,72,van
9,151,67,van
9,146,64,van
9,144,63,van
7,132,87,van
11,154,73,van
11,159,75,van
9,136,68,van
7,136,72,van
10,162,70,van
8,137,63,van
10,157,67,van
8,142,71,van
11,158,75,van
5,119,72,van
7,131,78,van
10,155,74,van
10,157,75,van
6,133,86,van
7,122,63,van
10,161,75,van
10,155,67,van
3,117,89,van
9,142,70,van
8,144,67,van
7,135,85,van
9,147,71,van
7,126,64,van
5,122,85,van
10,151,71,van
46,150,91,van
10,153,74,van
12,155,75,van
9,144,71,van
8,130,74,van
8,128,66,van
7,131,73,van
9,147,72,van
8,140,73,van
11,160,73,van
10,146,70,van
11,163,71,van
9,152,73,van
5,128,75,van
8,136,67,van
8,142,71,van
10,157,75,van
11,160,76,van
8,132,67,van
7,135,75,van
10,155,75,van
6,123,66,van
11,159,75,van
8,130,70,van
8,131,72,van
49,153,118,van
6,116,64,van
6,136,78,van
7,122,63,van
6,127,63,van
10,159,76,van
9,131,66,van
8,129,68,van
9,149,72,van
11,151,72,van
6,128,61,van
25,140,67,van
9,150,75,van
6,122,79,van
6,115,74,van
6,136,73,van
5,119,81,van
10,133,67,van
8,139,73,van
10,157,75,van
11,160,76,van
6,118,80,van
7,128,62,van
8,127,62,van
11,159,72,van
9,153,65,van
11,156,74,van
7,137,64,van
5,123,82,van
8,142,63,van
11,159,77,van
9,157,77,van
43,155,90,van
8,137,80,van
8,143,72,van
8,133,62,van
11,160,77,van
9,133,66,van
11,161,75,van
10,153,66,van
8,146,71,van
9,157,79,van
2,119,90,van
11,162,74,van
7,128,69,van
9,149,72,van
8,148,70,van
9,144,70,van
11,159,76,van
11,158,75,van
4,118,85,van
9,156,68,van
9,145,66,van
10,145,64,van
11,156,74,van
6,114,64,van
10,155,75,van
6,139,79,van
12,218,71,saab
9,161,66,saab
12,221,70,saab
9,185,70,saab
12,218,67,saab
11,211,71,saab
11,204,68,saab
11,199,61,saab
11,191,64,saab
11,222,71,saab
7,169,67,saab
8,159,69,saab
8,140,64,saab
6,121,68,saab
10,213,74,saab
11,218,71,saab
9,186,67,saab
5,133,70,saab
11,207,71,saab
9,197,68,saab
7,135,82,saab
12,222,71,saab
9,163,62,saab
7,161,68,saab
10,171,59,saab
4,115,83,saab
6,142,77,saab
9,197,73,saab
10,217,72,saab
7,149,71,saab
6,144,74,saab
8,150,63,saab
6,135,83,saab
11,218,72,saab
8,186,68,saab
9,197,70,saab
7,150,82,saab
12,215,68,saab
8,175,68,saab
12,212,66,saab
12,213,66,saab
9,208,68,saab
11,201,65,saab
11,214,71,saab
11,208,71,saab
9,167,63,saab
8,175,70,saab
12,216,72,saab
10,195,67,saab
11,217,67,saab
7,149,74,saab
8,181,68,saab
11,216,72,saab
11,214,68,saab
11,220,72,saab
8,169,64,saab
6,151,70,saab
10,201,64,saab
6,136,74,saab
4,116,76,saab
12,215,67,saab
5,132,68,saab
6,140,66,saab
11,214,65,saab
7,132,72,saab
7,149,69,saab
10,208,69,saab
9,203,64,saab
10,208,70,saab
11,219,69,saab
5,142,81,saab
8,183,70,saab
11,202,68,saab
11,219,71,saab
9,198,70,saab
9,185,66,saab
10,203,70,saab
7,163,71,saab
5,152,77,saab
7,174,68,saab
10,187,64,saab
7,154,70,saab
11,210,73,saab
10,187,65,saab
10,198,66,saab
8,169,72,saab
11,208,67,saab
7,160,70,saab
8,169,67,saab
11,213,73,saab
9,166,63,saab
11,220,70,saab
6,160,66,saab
9,192,73,saab
10,188,68,saab
8,172,72,saab
7,141,61,saab
8,153,70,saab
11,220,71,saab
11,214,70,saab
9,188,67,saab
10,207,70,saab
9,175,69,saab
7,159,69,saab
9,178,61,saab
7,152,76,saab
8,164,72,saab
11,219,70,saab
12,213,68,saab
6,128,82,saab
9,175,63,saab
12,221,73,saab
7,147,75,saab
9,177,66,saab
12,222,70,saab
7,150,66,saab
9,166,62,saab
4,135,86,saab
8,157,61,saab
10,207,70,saab
10,206,72,saab
9,211,74,saab
11,212,71,saab
7,140,61,saab
9,170,68,saab
11,213,74,saab
5,150,80,saab
8,153,60,saab
9,157,63,saab
11,218,71,saab
4,122,82,saab
11,220,71,saab
9,177,65,saab
6,116,70,saab
7,146,77,saab
10,216,74,saab
6,148,79,saab
8,177,70,saab
10,217,72,saab
11,183,64,saab
11,207,64,saab
11,207,64,saab
9,191,68,saab
10,193,71,saab
10,198,67,saab
12,222,71,saab
10,221,73,saab
10,214,74,saab
7,152,67,saab
6,142,77,saab
12,215,71,saab
4,129,81,saab
11,220,72,saab
7,170,66,saab
9,193,65,saab
12,206,65,saab
8,154,69,saab
7,176,70,saab
8,144,64,saab
6,133,63,saab
9,206,72,saab
12,217,67,saab
6,123,65,saab
9,157,60,saab
6,128,71,saab
6,140,71,saab
7,173,66,saab
