@relation vehicle

@attribute Circularity numeric
@attribute Praxis_rectangular numeric
@attribute Gyration_radius numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
47,20,178,195,van
44,18,171,201,van
46,20,176,197,van
35,17,112,207,van
49,20,185,191,van
45,19,174,201,van
47,20,174,193,van
38,18,123,194,van
36,18,127,202,van
50,20,187,191,van
46,20,172,193,van
45,20,157,200,van
42,18,170,201,van
45,19,179,202,van
47,20,185,198,van
41,19,158,199,van
41,18,157,208,van
48,20,185,192,van
40,18,137,188,van
47,19,184,197,van
35,18,109,209,van
38,18,138,196,van
39,18,139,184,van
42,18,162,204,van
43,18,164,202,van
35,17,116,203,van
36,18,121,201,van
37,17,133,183,van
42,18,159,201,van
41,18,161,184,van
45,18,179,199,van
42,19,161,197,van
42,18,159,196,van
44,18,171,207,van
44,18,167,194,van
42,18,161,210,van
46,20,171,192,van
41,18,149,185,van
39,17,141,207,van
37,18,119,190,van
45,20,162,199,van
43,19,140,207,van
36,17,118,198,van
36,18,119,209,van
37,17,146,184,van
41,17,150,188,van
43,18,156,194,van
45,20,173,193,van
45,20,188,197,van
36,17,127,184,van
46,20,170,196,van
46,20,186,193,van
38,17,137,194,van
44,20,154,202,van
45,20,177,192,van
36,18,116,196,van
43,19,161,197,van
41,19,162,200,van
46,20,192,200,van
40,17,143,208,van
46,20,171,200,van
41,18,153,201,van
37,18,128,195,van
43,18,172,199,van
45,18,175,196,van
44,19,143,203,van
47,20,185,191,van
48,20,188,195,van
47,20,188,193,van
37,18,124,192,van
42,19,150,204,van
47,20,176,194,van
47,19,178,196,van
43,19,143,206,van
39,19,158,201,van
46,19,179,204,van
35,17,123,203,van
47,20,176,191,van
44,20,176,193,van
38,18,132,185,van
48,20,185,192,van
37,18,140,202,van
44,19,159,202,van
41,19,134,203,van
38,18,130,202,van
46,19,182,199,van
42,18,164,197,van
40,17,150,210,van
37,17,135,185,van
48,20,184,197,van
39,17,145,204,van
40,18,139,183,van
40,19,149,197,van
48,20,187,191,van
45,19,179,196,van
35,17,139,184,van
43,19,165,196,van
44,20,175,195,van
39,18,150,182,van
40,18,156,184,van
37,17,125,183,van
41,19,161,197,van
46,20,176,194,van
40,18,157,183,van
38,17,152,186,van
44,18,162,191,van
40,19,143,200,van
37,17,147,183,van
46,20,184,200,van
43,19,159,200,van
48,20,186,195,van
44,20,176,193,van
44,20,164,195,van
36,17,136,183,van
38,18,140,183,van
41,19,140,207,van
38,18,128,193,van
40,17,153,199,van
48,19,200,195,van
43,18,167,209,van
36,17,138,183,van
42,19,163,199,van
39,18,124,208,van
36,18,127,196,van
39,18,134,187,van
43,19,174,196,van
49,20,203,194,van
47,19,186,197,van
48,20,186,193,van
39,18,151,182,van
41,19,127,207,van
43,18,159,210,van
45,20,176,195,van
37,17,129,190,van
37,17,144,190,van
39,18,126,208,van
35,17,137,183,van
42,18,162,191,van
45,19,174,199,van
49,20,186,194,van
47,19,186,196,van
46,20,177,191,van
46,19,182,202,van
42,19,147,199,van
47,20,182,202,van
36,17,125,185,van
39,17,148,194,van
43,19,164,196,van
39,18,134,186,van
43,19,164,196,van
43,18,174,201,van
40,19,148,183,van
46,20,186,193,van
47,19,181,198,van
46,20,189,194,van
36,18,119,208,van
47,20,176,192,van
46,20,177,191,van
47,20,185,195,van
40,19,157,199,van
44,19,166,206,van
42,18,152,190,van
48,20,185,192,van
37,18,121,205,van
45,19,161,207,van
41,18,155,194,van
49,20,186,192,van
44,18,166,187,van
48,19,187,196,van
39,18,142,187,van
43,18,172,185,van
47,19,187,196,van
49,20,186,192,van
45,20,173,193,van
37,18,121,203,van
37,18,124,195,van
34,18,113,206,van
41,18,157,186,van
36,17,131,190,van
47,23,191,198,saab
41,18,169,209,saab
36,18,139,183,saab
53,24,222,206,saab
50,21,197,201,saab
39,19,149,189,saab
40,21,160,200,saab
35,17,128,190,saab
42,21,138,208,saab
54,24,212,202,saab
40,20,133,210,saab
55,24,221,194,saab
41,19,173,185,saab
53,25,212,199,saab
36,18,138,195,saab
49,24,213,202,saab
34,17,118,202,saab
36,19,131,203,saab
47,20,190,193,saab
37,18,145,188,saab
39,20,131,205,saab
56,24,216,197,saab
33,17,127,183,saab
53,25,203,203,saab
42,19,170,189,saab
45,23,186,200,saab
53,24,196,199,saab
40,21,165,205,saab
48,23,178,204,saab
43,19,187,198,saab
54,24,212,201,saab
39,20,142,199,saab
54,24,221,198,saab
52,24,220,205,saab
50,23,220,196,saab
38,19,137,192,saab
51,24,221,197,saab
37,18,132,192,saab
36,19,137,200,saab
54,24,238,200,saab
38,20,141,199,saab
55,25,216,197,saab
54,23,240,196,saab
37,18,143,185,saab
55,24,229,199,saab
45,22,158,211,saab
36,18,128,184,saab
45,20,174,201,saab
43,19,174,201,saab
55,23,220,196,saab
54,24,216,197,saab
36,18,126,204,saab
40,18,150,195,saab
37,20,134,197,saab
53,25,214,199,saab
53,23,224,201,saab
50,22,195,206,saab
50,22,214,201,saab
40,19,160,187,saab
34,18,117,207,saab
50,21,220,199,saab
46,20,175,207,saab
51,24,217,198,saab
53,22,237,196,saab
50,24,203,202,saab
41,18,162,189,saab
37,18,144,184,saab
48,20,190,201,saab
38,19,145,183,saab
51,24,190,199,saab
51,22,194,205,saab
51,24,194,206,saab
54,25,200,201,saab
51,23,195,197,saab
48,23,183,204,saab
36,19,124,211,saab
55,25,213,199,saab
53,23,216,205,saab
38,19,149,191,saab
43,19,165,191,saab
52,25,200,205,saab
54,24,222,196,saab
43,19,158,209,saab
37,20,139,197,saab
54,25,224,204,saab
38,18,145,186,saab
40,21,155,196,saab
38,20,137,197,saab
48,21,198,199,saab
52,24,212,199,saab
48,23,199,197,saab
53,24,218,197,saab
51,24,203,201,saab
46,22,160,203,saab
46,23,195,205,saab
53,25,201,203,saab
45,20,179,208,saab
46,20,181,199,saab
49,22,178,208,saab
39,21,156,198,saab
51,22,219,201,saab
55,24,223,196,saab
53,24,210,203,saab
42,22,168,206,saab
43,19,176,194,saab
39,20,149,195,saab
45,20,188,199,saab
38,19,158,185,saab
52,24,214,201,saab
44,22,165,199,saab
33,17,127,185,saab
46,23,210,199,saab
37,20,144,196,saab
49,24,215,199,saab
37,20,115,209,saab
53,24,202,198,saab
51,22,230,196,saab
38,19,130,195,saab
45,22,195,197,saab
54,23,235,200,saab
49,24,184,202,saab
54,24,218,199,saab
54,25,213,200,saab
40,18,166,191,saab
53,25,198,203,saab
44,22,152,204,saab
51,23,184,208,saab
42,22,173,197,saab
38,21,138,199,saab
51,23,201,205,saab
36,18,144,182,saab
53,25,202,200,saab
53,24,218,197,saab
50,24,188,200,saab
38,19,153,193,saab
54,24,220,195,saab
54,24,232,202,saab
53,23,202,205,saab
48,21,187,210,saab
38,21,144,204,saab
47,21,169,210,saab
53,25,212,201,saab
40,19,173,185,saab
48,23,174,197,saab
37,18,141,183,saab
44,22,175,197,saab
41,19,178,185,saab
55,24,214,199,saab
37,19,144,195,saab
37,18,146,185,saab
43,22,166,199,saab
45,20,177,195,saab
36,17,132,195,saab
36,18,148,195,saab
47,23,165,208,saab
39,21,154,195,saab
52,24,214,197,saab
39,18,158,204,saab
38,19,149,191,saab
38,19,145,188,saab
48,24,200,203,saab
53,24,223,197,saab
54,25,216,199,saab
36,19,123,201,saab
44,19,177,187,saab
52,23,204,204,saab
41,21,147,205,saab
52,24,197,198,saab
39,20,129,204,saab
36,19,121,205,saab
47,20,185,198,saab
38,19,157,183,saab
56,25,214,197,saab
45,20,169,206,saab
53,24,209,201,saab
54,24,228,201,saab
53,24,218,197,saab
40,20,155,191,saab
51,22,231,199,saab
39,20,158,192,saab
38,19,146,185,saab
40,18,151,190,saab
36,20,139,203,saab
45,19,170,193,saab
53,25,214,199,saab
51,24,222,196,saab
54,24,217,198,saab
46,20,184,191,saab
51,25,202,200,saab
43,21,153,205,saab
35,17,128,184,saab
40,21,160,202,saab
52,22,203,202,saab
54,25,202,199,saab
54,24,240,197,saab
50,24,186,202,saab
46,20,180,203,bus
37,19,135,205,bus
46,19,188,184,bus
45,19,177,188,bus
41,19,147,195,bus
52,26,250,184,bus
42,19,157,193,bus
47,21,201,201,bus
44,19,189,182,bus
43,19,171,182,bus
